customerid,gender,senior_citizen,partner,dependents,tenure_months,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,tenure_group,charges_tier,churn_display
0404-AHASP,Male,No,True,False,72,72,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),19.7,1421.9,No,0,49-72 mo,Low ($0-35),Not Churned
7279-NMVJC,Female,No,False,False,17,17,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),19.9,323.15,No,0,13-24 mo,Low ($0-35),Not Churned
2081-VEYEH,Male,No,False,False,3,3,True,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,107.95,318.6,No,0,0-6 mo,High ($70+),Not Churned
6407-UTSLV,Female,Yes,False,False,2,2,True,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),83.8,163.7,No,0,0-6 mo,High ($70+),Not Churned
9060-HJJRW,Female,No,False,False,51,51,False,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,True,Credit card (automatic),56.4,2928.5,No,0,49-72 mo,Medium ($35-70),Not Churned
2587-YNLES,Female,No,True,True,6,6,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,20.1,100.35,No,0,0-6 mo,Low ($0-35),Not Churned
7398-SKNQZ,Female,No,True,False,3,3,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,False,Electronic check,94.9,273.2,No,0,0-6 mo,High ($70+),Not Churned
5935-FCCNB,Female,Yes,False,False,17,17,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,94.2,1608.15,No,0,13-24 mo,High ($70+),Not Churned
1958-RNRKS,Male,No,True,False,30,30,True,Yes,DSL,No,No,No,No,No,No,Month-to-month,False,Electronic check,49.9,1441.95,No,0,25-48 mo,Medium ($35-70),Not Churned
5136-RGMZO,Male,No,False,False,31,31,True,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,True,Electronic check,71.05,2168.15,No,0,25-48 mo,High ($70+),Not Churned
8345-MVDYC,Female,No,False,False,45,45,True,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,False,Bank transfer (automatic),81.65,3618.7,No,0,25-48 mo,High ($70+),Not Churned
8226-BXGES,Male,No,True,False,64,64,True,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,False,Bank transfer (automatic),89.45,5692.65,No,0,49-72 mo,High ($70+),Not Churned
9705-IOVQQ,Male,Yes,True,True,61,61,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,False,Electronic check,99.0,5969.3,No,0,49-72 mo,High ($70+),Not Churned
1015-OWJKI,Male,No,False,False,1,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.05,19.05,No,0,0-6 mo,Low ($0-35),Not Churned
2040-XBAVJ,Male,No,True,True,72,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Bank transfer (automatic),114.45,8100.55,No,0,49-72 mo,High ($70+),Not Churned
8887-IPQNC,Female,No,True,False,7,7,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,44.25,313.45,No,0,7-12 mo,Medium ($35-70),Not Churned
8646-JCOMS,Female,No,True,False,66,66,True,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,True,Bank transfer (automatic),90.55,6130.95,No,0,49-72 mo,High ($70+),Not Churned
1222-KJNZD,Male,No,True,True,40,40,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Bank transfer (automatic),20.4,745.3,No,0,25-48 mo,Low ($0-35),Not Churned
0106-GHRQR,Male,No,False,False,16,16,True,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,True,Bank transfer (automatic),71.4,1212.1,No,0,13-24 mo,High ($70+),Not Churned
3768-VHXQO,Male,No,True,False,67,67,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),24.85,1583.5,No,0,49-72 mo,Low ($0-35),Not Churned
8952-WCVCD,Female,No,True,False,41,41,True,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,True,Bank transfer (automatic),104.45,4162.05,No,0,25-48 mo,High ($70+),Not Churned
2418-TPEUN,Female,No,True,True,56,56,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Credit card (automatic),19.8,1119.9,No,0,49-72 mo,Low ($0-35),Not Churned
3963-RYFNS,Female,No,False,False,72,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),116.45,8013.55,No,0,49-72 mo,High ($70+),Not Churned
8540-ZQGEA,Female,No,True,False,54,54,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),20.05,1102.4,No,0,49-72 mo,Low ($0-35),Not Churned
1320-REHCS,Male,Yes,False,False,52,52,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,110.75,5832.0,No,0,49-72 mo,High ($70+),Not Churned
4137-JOPHL,Female,No,False,False,50,50,True,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,True,Bank transfer (automatic),89.7,4304.5,No,0,49-72 mo,High ($70+),Not Churned
7801-CEDNV,Male,No,True,False,27,27,True,No,DSL,Yes,No,No,No,No,No,One year,False,Credit card (automatic),48.7,1421.75,No,0,25-48 mo,Medium ($35-70),Not Churned
2057-BOYKM,Female,Yes,True,False,72,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,True,Bank transfer (automatic),96.6,6827.5,No,0,49-72 mo,High ($70+),Not Churned
3658-QQJYD,Male,No,False,False,62,62,True,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,True,Credit card (automatic),74.3,4698.05,No,0,49-72 mo,High ($70+),Not Churned
1803-BGNBD,Female,No,False,False,12,12,True,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,True,Electronic check,54.3,654.5,No,0,7-12 mo,Medium ($35-70),Not Churned
0134-XWXCE,Female,Yes,False,False,44,44,True,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,False,Bank transfer (automatic),74.85,3268.05,No,0,25-48 mo,High ($70+),Not Churned
6950-TWMYB,Male,No,True,True,54,54,True,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,True,Bank transfer (automatic),79.95,4362.05,No,0,49-72 mo,High ($70+),Not Churned
5848-FHRFC,Female,No,False,False,68,68,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.05,1386.9,No,0,49-72 mo,Low ($0-35),Not Churned
2243-FNMMI,Male,No,False,False,20,20,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.4,415.4,No,0,13-24 mo,Low ($0-35),Not Churned
2511-MORQY,Male,No,True,False,50,50,True,Yes,DSL,No,No,Yes,No,No,No,One year,False,Bank transfer (automatic),54.9,2614.1,No,0,49-72 mo,Medium ($35-70),Not Churned
5356-KZCKT,Male,No,False,False,58,58,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Credit card (automatic),24.45,1513.6,No,0,49-72 mo,Low ($0-35),Not Churned
9470-XCCEM,Male,No,True,True,35,35,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),89.65,3161.6,No,0,25-48 mo,High ($70+),Not Churned
6519-CFDBX,Female,No,False,False,2,2,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,45.4,80.95,No,0,0-6 mo,Medium ($35-70),Not Churned
3902-MIVLE,Male,No,True,False,63,63,True,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,False,Mailed check,75.7,4676.7,No,0,49-72 mo,High ($70+),Not Churned
0409-WTMPL,Female,No,True,False,58,58,True,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,True,Credit card (automatic),110.65,6526.65,No,0,49-72 mo,High ($70+),Not Churned
8763-KIAFH,Female,No,True,False,27,27,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Mailed check,20.55,583.3,No,0,25-48 mo,Low ($0-35),Not Churned
3669-WHAFY,Female,No,True,False,71,71,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),115.15,8078.1,No,0,49-72 mo,High ($70+),Not Churned
3055-VTCGS,Female,No,False,False,63,63,True,No,DSL,No,No,Yes,No,No,Yes,One year,False,Credit card (automatic),58.55,3503.5,No,0,49-72 mo,Medium ($35-70),Not Churned
3144-KMTWZ,Male,No,True,False,71,71,True,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,True,Bank transfer (automatic),93.25,6669.45,No,0,49-72 mo,High ($70+),Not Churned
2007-QVGAW,Female,No,True,True,68,68,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),19.35,1292.65,No,0,49-72 mo,Low ($0-35),Not Churned
5207-PLSTK,Male,No,True,True,1,1,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,True,Mailed check,48.75,48.75,No,0,0-6 mo,Medium ($35-70),Not Churned
2307-FYNNL,Male,Yes,False,False,65,65,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,True,Electronic check,109.05,7108.2,No,0,49-72 mo,High ($70+),Not Churned
5605-XNWEN,Male,Yes,True,False,72,72,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),25.0,1802.55,No,0,49-72 mo,Low ($0-35),Not Churned
2155-AMQRX,Female,No,False,False,28,28,True,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,True,Credit card (automatic),54.9,1505.15,No,0,25-48 mo,Medium ($35-70),Not Churned
6181-AXXYF,Male,No,True,True,72,72,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),24.75,1859.1,No,0,49-72 mo,Low ($0-35),Not Churned
5091-HFAZW,Female,No,False,False,2,2,True,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,True,Electronic check,91.15,168.5,No,0,0-6 mo,High ($70+),Not Churned
2519-LBNQL,Male,Yes,True,False,60,60,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,True,Electronic check,104.35,6339.45,No,0,49-72 mo,High ($70+),Not Churned
8623-ULFNQ,Female,Yes,False,False,26,26,True,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,True,Electronic check,66.05,1652.4,No,0,25-48 mo,Medium ($35-70),Not Churned
1568-LJSZU,Male,No,True,False,68,68,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),92.2,6392.85,No,0,49-72 mo,High ($70+),Not Churned
7789-HKSBS,Female,Yes,True,False,42,42,True,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,True,Bank transfer (automatic),105.2,4599.15,No,0,25-48 mo,High ($70+),Not Churned
7416-CKTEP,Female,No,True,False,57,57,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),19.6,1134.25,No,0,49-72 mo,Low ($0-35),Not Churned
2586-CWXVV,Male,No,True,False,54,54,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,False,Electronic check,30.4,1621.35,No,0,49-72 mo,Low ($0-35),Not Churned
2348-KCJLT,Female,No,True,False,44,44,True,No,DSL,Yes,Yes,Yes,No,No,No,One year,True,Mailed check,61.5,2722.2,No,0,25-48 mo,Medium ($35-70),Not Churned
8401-EMUWF,Male,No,True,True,42,42,True,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),69.4,3058.3,No,0,25-48 mo,Medium ($35-70),Not Churned
4193-IBKSW,Male,No,True,True,72,72,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),24.75,1769.6,No,0,49-72 mo,Low ($0-35),Not Churned
5377-NDTOU,Female,No,True,False,71,71,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Mailed check,91.05,6293.75,No,0,49-72 mo,High ($70+),Not Churned
2474-LCNUE,Female,No,True,False,23,23,True,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,True,Credit card (automatic),73.65,1642.75,No,0,13-24 mo,High ($70+),Not Churned
0839-QNXME,Female,No,False,False,30,30,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),19.4,578.5,No,0,25-48 mo,Low ($0-35),Not Churned
3506-OVLKD,Male,No,False,False,35,35,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),26.2,954.9,No,0,25-48 mo,Low ($0-35),Not Churned
6650-VJONK,Male,No,False,False,1,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),43.85,43.85,No,0,0-6 mo,Medium ($35-70),Not Churned
2178-PMGCJ,Male,No,False,False,22,22,True,No,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Mailed check,69.7,1490.4,No,0,13-24 mo,Medium ($35-70),Not Churned
7492-TAFJD,Male,No,True,False,7,7,False,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,False,Mailed check,38.55,280.0,No,0,7-12 mo,Medium ($35-70),Not Churned
2773-MADBQ,Female,No,False,False,36,36,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,True,Mailed check,53.1,1901.25,No,0,25-48 mo,Medium ($35-70),Not Churned
6016-LVTJQ,Female,No,True,True,34,34,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.65,716.4,No,0,25-48 mo,Low ($0-35),Not Churned
7860-KSUGX,Male,No,True,False,72,72,True,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,False,Credit card (automatic),64.45,4720.0,No,0,49-72 mo,Medium ($35-70),Not Churned
8966-KZXXA,Male,No,True,True,36,36,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),25.1,930.95,No,0,25-48 mo,Low ($0-35),Not Churned
5149-QYTTU,Female,No,True,True,71,71,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,True,Credit card (automatic),95.15,6770.85,No,0,49-72 mo,High ($70+),Not Churned
2070-XYMFH,Female,Yes,False,False,23,23,True,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,True,Mailed check,79.35,1835.3,No,0,13-24 mo,High ($70+),Not Churned
2085-BOJKI,Male,No,True,False,17,17,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,True,Bank transfer (automatic),96.65,1588.25,No,0,13-24 mo,High ($70+),Not Churned
0817-HSUSE,Male,No,False,False,1,1,True,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,75.5,75.5,No,0,0-6 mo,High ($70+),Not Churned
5442-PPTJY,Male,No,True,True,12,12,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.7,258.35,No,0,7-12 mo,Low ($0-35),Not Churned
1927-QEWMY,Female,No,True,False,72,72,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),20.5,1502.25,No,0,49-72 mo,Low ($0-35),Not Churned
1663-MHLHE,Male,No,False,False,1,1,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.2,19.2,No,0,0-6 mo,Low ($0-35),Not Churned
5663-QBGIS,Male,Yes,True,False,72,72,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,False,Bank transfer (automatic),98.35,6929.4,No,0,49-72 mo,High ($70+),Not Churned
4450-MDZFX,Male,No,True,True,60,60,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,False,Bank transfer (automatic),74.35,4453.3,No,0,49-72 mo,High ($70+),Not Churned
6701-DHKWQ,Female,No,True,False,61,61,False,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Two year,False,Credit card (automatic),51.35,3244.4,No,0,49-72 mo,Medium ($35-70),Not Churned
7554-AKDQF,Female,No,True,False,6,6,True,No,DSL,No,No,No,No,No,No,Month-to-month,False,Mailed check,45.65,323.45,No,0,0-6 mo,Medium ($35-70),Not Churned
0794-YVSGE,Male,No,True,True,72,72,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.3,1401.15,No,0,49-72 mo,Low ($0-35),Not Churned
5423-BHIXO,Female,No,False,False,32,32,True,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,True,Electronic check,54.2,1739.6,No,0,25-48 mo,Medium ($35-70),Not Churned
6908-VVYHM,Male,No,True,False,65,65,True,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,True,Electronic check,90.65,5931.0,No,0,49-72 mo,High ($70+),Not Churned
2959-EEXWB,Female,No,True,True,45,45,False,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,True,Bank transfer (automatic),50.9,2333.85,No,0,25-48 mo,Medium ($35-70),Not Churned
1839-UMACK,Male,No,False,False,42,42,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Electronic check,25.05,949.85,No,0,25-48 mo,Low ($0-35),Not Churned
3030-YDNRM,Male,No,False,False,8,8,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,74.85,572.45,No,0,7-12 mo,High ($70+),Not Churned
7321-KKSDU,Male,No,False,True,32,32,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,20.5,696.8,No,0,25-48 mo,Low ($0-35),Not Churned
3402-XRIUO,Female,Yes,True,False,22,22,True,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,True,Mailed check,63.55,1381.8,No,0,13-24 mo,Medium ($35-70),Not Churned
8286-AFUYI,Male,No,False,False,1,1,True,No,DSL,Yes,No,No,No,No,No,Month-to-month,False,Electronic check,47.95,47.95,No,0,0-6 mo,Medium ($35-70),Not Churned
8356-WUAOJ,Female,No,True,False,1,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Electronic check,45.0,45.0,No,0,0-6 mo,Medium ($35-70),Not Churned
8058-DMYRU,Male,Yes,False,False,54,54,True,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,True,Electronic check,90.05,4931.8,No,0,49-72 mo,High ($70+),Not Churned
9350-ZXYJC,Female,No,False,False,4,4,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Credit card (automatic),25.3,116.95,No,0,0-6 mo,Low ($0-35),Not Churned
8958-JPTRR,Female,No,True,False,56,56,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Electronic check,24.3,1261.7,No,0,49-72 mo,Low ($0-35),Not Churned
6959-GQEGV,Male,No,False,False,45,45,True,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,75.95,3273.8,No,0,25-48 mo,High ($70+),Not Churned
3173-WSSUE,Female,No,True,True,71,71,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),19.7,1415.85,No,0,49-72 mo,Low ($0-35),Not Churned
1265-HVPZB,Male,No,True,False,59,59,True,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,False,Credit card (automatic),66.4,3958.2,No,0,49-72 mo,Medium ($35-70),Not Churned
4115-UMJFQ,Male,No,False,False,69,69,False,No phone service,DSL,No,Yes,Yes,No,No,No,One year,True,Bank transfer (automatic),35.75,2492.25,No,0,49-72 mo,Medium ($35-70),Not Churned
7369-TRPFD,Male,No,False,False,19,19,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,18.8,279.2,No,0,13-24 mo,Low ($0-35),Not Churned
1098-KFQEC,Female,No,True,True,55,55,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),19.4,1083.0,No,0,49-72 mo,Low ($0-35),Not Churned
7190-XHTWJ,Female,No,False,False,38,38,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,19.3,755.5,No,0,25-48 mo,Low ($0-35),Not Churned
3537-RYBHH,Female,Yes,True,False,47,47,True,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,True,Credit card (automatic),67.45,3252.0,No,0,25-48 mo,Medium ($35-70),Not Churned
5296-BFCYD,Male,No,True,True,46,46,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,20.1,936.85,No,0,25-48 mo,Low ($0-35),Not Churned
9359-JANWS,Female,No,True,False,65,65,True,No,DSL,Yes,No,Yes,Yes,No,No,Two year,False,Credit card (automatic),58.9,3857.1,No,0,49-72 mo,Medium ($35-70),Not Churned
3279-DYZQM,Male,No,True,True,71,71,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,19.45,1378.45,No,0,49-72 mo,Low ($0-35),Not Churned
0523-VNGTF,Female,Yes,False,False,52,52,False,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,True,Electronic check,50.5,2566.3,No,0,49-72 mo,Medium ($35-70),Not Churned
9575-IWCAZ,Male,No,True,False,6,6,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,25.1,171.0,No,0,0-6 mo,Low ($0-35),Not Churned
7105-MXJLL,Female,Yes,True,False,26,26,True,No,DSL,No,No,Yes,No,No,Yes,One year,False,Mailed check,60.7,1597.4,No,0,25-48 mo,Medium ($35-70),Not Churned
7064-FRRSW,Male,Yes,False,False,48,48,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,True,Electronic check,99.0,4744.35,No,0,25-48 mo,High ($70+),Not Churned
7940-UQQUG,Female,No,True,True,64,64,True,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,True,Bank transfer (automatic),104.4,6721.6,No,0,49-72 mo,High ($70+),Not Churned
3961-SXAXY,Male,No,False,False,1,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Bank transfer (automatic),44.05,44.05,No,0,0-6 mo,Medium ($35-70),Not Churned
7010-BRBUU,Male,No,True,True,72,72,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),24.1,1734.65,No,0,49-72 mo,Low ($0-35),Not Churned
3566-HJGPK,Male,No,False,False,1,1,True,No,DSL,No,No,No,No,No,No,Month-to-month,True,Mailed check,45.55,45.55,No,0,0-6 mo,Medium ($35-70),Not Churned
3062-ICYZQ,Female,No,True,True,51,51,True,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,True,Electronic check,93.8,4539.35,No,0,49-72 mo,High ($70+),Not Churned
9938-PRCVK,Female,No,True,True,41,41,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),19.7,804.25,No,0,25-48 mo,Low ($0-35),Not Churned
0973-KYVNF,Female,No,True,False,72,72,True,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,True,Credit card (automatic),70.65,5011.15,No,0,49-72 mo,High ($70+),Not Churned
5129-HHMZC,Female,No,True,False,43,43,True,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,False,Credit card (automatic),86.45,3574.5,No,0,25-48 mo,High ($70+),Not Churned
9637-CDTKZ,Male,No,True,False,72,72,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Credit card (automatic),114.1,8086.4,No,0,49-72 mo,High ($70+),Not Churned
3946-JEWRQ,Male,No,True,False,47,47,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,True,Credit card (automatic),95.2,4563.0,No,0,25-48 mo,High ($70+),Not Churned
7873-CVMAW,Male,No,False,False,72,72,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Credit card (automatic),88.55,6362.35,No,0,49-72 mo,High ($70+),Not Churned
0463-WZZKO,Male,No,False,False,3,3,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Credit card (automatic),20.75,67.1,No,0,0-6 mo,Low ($0-35),Not Churned
4524-QCSSM,Male,No,False,False,26,26,False,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,True,Bank transfer (automatic),44.65,1156.55,No,0,25-48 mo,Medium ($35-70),Not Churned
5832-EXGTT,Male,No,True,True,29,29,True,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,True,Mailed check,60.2,1834.15,No,0,25-48 mo,Medium ($35-70),Not Churned
2039-JONDJ,Male,No,False,False,27,27,True,No,DSL,Yes,Yes,No,No,No,No,One year,False,Bank transfer (automatic),55.45,1477.65,No,0,25-48 mo,Medium ($35-70),Not Churned
7217-JYHOQ,Male,No,True,True,24,24,True,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,True,Credit card (automatic),70.3,1706.45,No,0,13-24 mo,High ($70+),Not Churned
6695-FRVEC,Male,No,True,False,67,67,True,No,DSL,Yes,No,Yes,Yes,No,No,Two year,True,Bank transfer (automatic),60.4,3953.7,No,0,49-72 mo,Medium ($35-70),Not Churned
9894-QMIMJ,Female,No,False,False,23,23,True,No,DSL,No,Yes,Yes,No,No,No,One year,False,Bank transfer (automatic),55.8,1327.85,No,0,13-24 mo,Medium ($35-70),Not Churned
8069-YQQAJ,Male,No,False,False,14,14,False,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,True,Mailed check,31.1,419.7,No,0,13-24 mo,Low ($0-35),Not Churned
1636-NTNCO,Male,Yes,False,False,4,4,False,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,True,Credit card (automatic),50.95,207.35,No,0,0-6 mo,Medium ($35-70),Not Churned
3466-WAESX,Male,No,False,True,16,16,True,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,True,Electronic check,69.1,1083.7,No,0,13-24 mo,Medium ($35-70),Not Churned
9281-PKKZE,Female,No,True,False,46,46,False,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,True,Electronic check,43.95,2007.85,No,0,25-48 mo,Medium ($35-70),Not Churned
3638-VBZTA,Male,No,False,False,68,68,True,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,True,Bank transfer (automatic),86.5,5882.75,No,0,49-72 mo,High ($70+),Not Churned
7459-IMVYU,Male,No,False,False,38,38,True,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,False,Electronic check,69.95,2657.55,No,0,25-48 mo,Medium ($35-70),Not Churned
8563-OYMQY,Male,No,False,False,17,17,True,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,True,Credit card (automatic),90.95,1612.2,No,0,13-24 mo,High ($70+),Not Churned
5989-PGKJB,Female,No,False,False,16,16,True,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,True,Electronic check,86.25,1340.1,No,0,13-24 mo,High ($70+),Not Churned
